Data;Tipo;Cotações em Real1/;
;;Compra;Venda
02/01/2020;A;4.0207;4.0213
03/01/2020;A;4.0516;4.0522
06/01/2020;A;4.0548;4.0554
07/01/2020;A;4.0835;4.0841
08/01/2020;A;4.0666;4.0672
09/01/2020;A;4.0738;4.0744
10/01/2020;A;4.0739;4.0745
13/01/2020;A;4.1303;4.1309
14/01/2020;A;4.1437;4.1443
15/01/2020;A;4.1616;4.1622
16/01/2020;A;4.172;4.1726
17/01/2020;A;4.1831;4.1837
20/01/2020;A;4.1823;4.1829
21/01/2020;A;4.2008;4.2014
22/01/2020;A;4.1883;4.1889
23/01/2020;A;4.1656;4.1662
24/01/2020;A;4.1763;4.1769
27/01/2020;A;4.219;4.2196
28/01/2020;A;4.2058;4.2064
29/01/2020;A;4.2007;4.2013
30/01/2020;A;4.2517;4.2523
31/01/2020;A;4.2689;4.2695
03/02/2020;A;4.2469;4.2475
04/02/2020;A;4.2375;4.2381
05/02/2020;A;4.2443;4.2449
06/02/2020;A;4.2471;4.2477
07/02/2020;A;4.307;4.3076
10/02/2020;A;4.3189;4.3195
11/02/2020;A;4.3142;4.3148
12/02/2020;A;4.336;4.3366
13/02/2020;A;4.3383;4.3389
14/02/2020;A;4.3157;4.3163
17/02/2020;A;4.3151;4.3157
18/02/2020;A;4.3465;4.3471
19/02/2020;A;4.3722;4.3728
20/02/2020;A;4.3867;4.3873
21/02/2020;A;4.3918;4.3924
26/02/2020;A;4.4353;4.4359
27/02/2020;A;4.4758;4.4764
28/02/2020;A;4.4981;4.4987
02/03/2020;A;4.494;4.4946
03/03/2020;A;4.4877;4.4883
04/03/2020;A;4.5252;4.5258
05/03/2020;A;4.6201;4.6207
06/03/2020;A;4.6453;4.6459
09/03/2020;A;4.7373;4.7379
10/03/2020;A;4.6687;4.6693
11/03/2020;A;4.6732;4.6738
12/03/2020;A;4.8825;4.8833
13/03/2020;A;4.7355;4.7362
16/03/2020;A;4.9464;4.9471
17/03/2020;A;5.0489;5.0496
18/03/2020;A;5.1101;5.1107
19/03/2020;A;5.1437;5.1444
20/03/2020;A;5.0241;5.0248
23/03/2020;A;5.0798;5.0805
24/03/2020;A;5.0707;5.0713
25/03/2020;A;5.07;5.0706
26/03/2020;A;5.0004;5.001
27/03/2020;A;5.1103;5.1109
30/03/2020;A;5.1588;5.1594
31/03/2020;A;5.1981;5.1987
01/04/2020;A;5.2399;5.2404
02/04/2020;A;5.2645;5.2651
03/04/2020;A;5.2991;5.2997
06/04/2020;A;5.2465;5.2471
07/04/2020;A;5.2211;5.2217
08/04/2020;A;5.2117;5.2123
09/04/2020;A;5.0773;5.0779
13/04/2020;A;5.1818;5.1824
14/04/2020;A;5.1852;5.1858
15/04/2020;A;5.2573;5.2579
16/04/2020;A;5.2371;5.2377
17/04/2020;A;5.2567;5.2573
20/04/2020;A;5.2831;5.2837
22/04/2020;A;5.3841;5.3847
23/04/2020;A;5.4461;5.4467
24/04/2020;A;5.6504;5.651
27/04/2020;A;5.6352;5.6358
28/04/2020;A;5.5677;5.5683
29/04/2020;A;5.4285;5.4291
30/04/2020;A;5.4264;5.427
04/05/2020;A;5.5811;5.5816
05/05/2020;A;5.5348;5.5354
06/05/2020;A;5.667;5.6676
07/05/2020;A;5.8359;5.8365
08/05/2020;A;5.7647;5.7653
11/05/2020;A;5.7948;5.7954
12/05/2020;A;5.7717;5.7723
13/05/2020;A;5.9016;5.9022
14/05/2020;A;5.9366;5.9372
15/05/2020;A;5.8223;5.8229
18/05/2020;A;5.7369;5.7375
19/05/2020;A;5.721;5.7216
20/05/2020;A;5.6962;5.6968
21/05/2020;A;5.6013;5.6019
22/05/2020;A;5.5802;5.5808
25/05/2020;A;5.4766;5.4772
26/05/2020;A;5.3701;5.3707
27/05/2020;A;5.2986;5.2992
28/05/2020;A;5.3399;5.3405
29/05/2020;A;5.4257;5.4263
01/06/2020;A;5.3633;5.3639
02/06/2020;A;5.2595;5.2601
03/06/2020;A;5.051;5.0516
04/06/2020;A;5.1035;5.1041
05/06/2020;A;4.9769;4.9775
08/06/2020;A;4.9325;4.9331
09/06/2020;A;4.9051;4.9057
10/06/2020;A;4.8888;4.8894
12/06/2020;A;5.0367;5.0373
15/06/2020;A;5.1877;5.1883
16/06/2020;A;5.1279;5.1285
17/06/2020;A;5.2492;5.2499
18/06/2020;A;5.3462;5.3468
19/06/2020;A;5.346;5.3466
22/06/2020;A;5.222;5.2226
23/06/2020;A;5.1699;5.1705
24/06/2020;A;5.2429;5.2435
25/06/2020;A;5.3281;5.3287
26/06/2020;A;5.4623;5.4629
29/06/2020;A;5.441;5.4416
30/06/2020;A;5.4754;5.476
